Structure parameters:
-1.9351570470e-04 -2.0073314819e-03 1.3077877610e-02 
2.5513092928e-04 -1.9963917148e-03 1.2957545675e-02 
-3.1093096074e-04 -2.0196820294e-03 1.3111097099e-02 
1.2001509206e-04 -2.0623268064e-03 1.2990990668e-02 
7.6060236764e-05 -2.0779670300e-03 1.3004709623e-02 
9.1526955877e-04 -2.0655756182e-03 1.2838039651e-02 
1.3984763082e-03 -2.0530173837e-03 1.2708701752e-02 
-1.3976893423e-04 -2.1175639185e-03 1.3056619390e-02 
2.6808982596e-04 -2.1205556610e-03 1.2956570600e-02 
1.3655108359e-04 -2.1274946457e-03 1.2991745967e-02 
6.2351200695e-04 -2.1117494803e-03 1.2863260194e-02 
4.9568687343e-04 -2.1147430327e-03 1.2888176773e-02 
3.7712172356e-04 -2.1235932932e-03 1.2931964178e-02 
1.9646976890e-04 -2.1337663360e-03 1.2960151071e-02 
-2.1777169596e-05 -2.1360786440e-03 1.3000753385e-02 
1.2902408254e-03 -2.1131600448e-03 1.2728948094e-02 
8.6237439679e-04 -2.1176027949e-03 1.2806129575e-02 
4.3006669877e-04 -2.1455529285e-03 1.2916693213e-02 
1.1679517998e-03 -2.1310396359e-03 1.2744996766e-02 
1.4705964338e-03 -2.1366248462e-03 1.2690629066e-02 
1.3310866373e-03 -2.1370704858e-03 1.2715161792e-02 
-2.9775121394e-04 -2.2185827423e-03 1.3061250330e-02 
-1.3780727030e-04 -2.2249418265e-03 1.3043021654e-02 
1.0302571431e-03 -2.2004120456e-03 1.2788830497e-02 
3.7775066305e-04 -2.2824067632e-03 1.2935252169e-02 
4.5955904043e-03 -3.3198800746e-03 1.8397116766e-02 
2.1200156878e-04 -2.3492300330e-03 1.2962880032e-02 
-1.7058489337e-04 -2.3603243383e-03 1.3058635015e-02 
-3.4664485087e-04 -2.3627126528e-03 1.3099777617e-02 
2.9009068122e-04 -2.3527406859e-03 1.2946680646e-02 
9.4820418087e-05 -2.3557744796e-03 1.2993855468e-02 
9.3493301657e-04 -2.3436055088e-03 1.2810576389e-02 
4.5837404398e-03 -3.4043636512e-03 1.8359171657e-02 
1.4256467491e-03 -2.3325785513e-03 1.2698680275e-02 
1.3326175270e-03 -2.3337826769e-03 1.2713873659e-02 
2.4478947586e-04 -2.3866859795e-03 1.2941766949e-02 
-3.9034004951e-05 -2.3915208039e-03 1.3025644808e-02 
4.2827861283e-04 -2.3862611118e-03 1.2912828307e-02 
-2.1387677563e-04 -2.4465092338e-03 1.3060948985e-02 
-2.5933716345e-04 -2.4349724523e-03 1.3080682101e-02 
1.2706870505e-03 -2.4088086014e-03 1.2722826998e-02 
4.2930901366e-04 -2.4567628484e-03 1.2904142579e-02 
2.5136546921e-04 -2.4673433947e-03 1.2951026321e-02 
-1.7116032390e-04 -2.4974756707e-03 1.3072331516e-02 
1.4333052430e-03 -2.4412874935e-03 1.2699147403e-02 
1.1928447365e-05 -2.5065418540e-03 1.3034693329e-02 
-8.4582376119e-05 -2.5039477591e-03 1.3024563100e-02 
-2.3903376327e-04 -2.5184875270e-03 1.3107568415e-02 
5.1618103200e-04 -2.4863922544e-03 1.2894446964e-02 
1.3910789191e-03 -2.4813345993e-03 1.2719919277e-02 
1.2951451969e-03 -2.4748590227e-03 1.2708464836e-02 
1.9413220014e-04 -2.5242578158e-03 1.2955190121e-02 
-1.6734284088e-04 -2.5577935373e-03 1.3043946272e-02 
-3.4066944607e-04 -2.5673969461e-03 1.3084880245e-02 
1.0081019844e-03 -2.5368172510e-03 1.2780026216e-02 
1.0188128845e-04 -2.5815292373e-03 1.2985189754e-02 
8.6977548845e-04 -2.5515793235e-03 1.2810081294e-02 
5.6584387600e-04 -2.5763526325e-03 1.2882437746e-02 
5.0582059950e-03 -3.8886024031e-03 1.8418541915e-02 
5.0496206191e-03 -3.9353752742e-03 1.8398977111e-02 
4.9460011961e-03 -3.9509759049e-03 1.8439941665e-02 
-5.2427267938e-03 -4.4283569566e-03 2.0720224588e-02 
-4.5349036782e-03 -4.4256171097e-03 2.0518209902e-02 
-3.5850313762e-03 -4.3794145521e-03 2.0230377410e-02 
-6.1794166325e-03 -4.5826277445e-03 2.0726554808e-02 
-5.4833526990e-03 -4.5847118563e-03 2.0578388766e-02 
-5.9121861842e-03 -4.6897049626e-03 2.0742823750e-02 
-4.6271476166e-03 -4.6369149510e-03 2.0536370398e-02 
-4.5097913183e-03 -4.6848556543e-03 2.0599563058e-02 
-4.4045014059e-03 -4.6920726265e-03 2.0525571600e-02 
-3.2794012780e-03 -4.6869583871e-03 2.0159729400e-02 
-5.4813840233e-03 -4.7929262157e-03 2.0596832797e-02 
-3.5868050502e-03 -4.8651409263e-03 2.0719016024e-02 
-4.5135237506e-03 -4.9209380751e-03 2.0490745976e-02 
-4.9516073969e-03 -5.0366805120e-03 2.0936393882e-02 
-4.4499266669e-03 -5.0493818501e-03 2.0645444156e-02 
-3.9456562687e-03 -5.1571124419e-03 2.0583519015e-02 
-1.9203675882e-03 -5.3032343772e-03 2.0258057821e-02 
-3.1028948416e-03 -5.3922216494e-03 2.0513570786e-02 
-3.4437473201e-03 -5.3778014337e-03 2.0546480022e-02 
-3.3591577594e-03 -5.4232487996e-03 2.0562689354e-02 
-4.4500210633e-03 -5.4698311144e-03 2.0697697747e-02 
-2.8813546812e-03 -5.4398158449e-03 2.0441280888e-02 
-4.5625496061e-03 -5.5225835228e-03 2.0689518472e-02 
-4.0785780772e-03 -5.4232253017e-03 2.0405317439e-02 
-4.5617403301e-03 -5.5822791684e-03 2.0701706483e-02 
-1.7487732005e-03 -5.5152902368e-03 2.0257263058e-02 
-2.0433188480e-03 -5.6168313710e-03 2.0306436072e-02 
-4.4383956080e-03 -5.6972195702e-03 2.0658271567e-02 
-3.2049098299e-03 -5.7150612140e-03 2.0536710930e-02 
-1.7701298907e-03 -5.6665694822e-03 2.0265962756e-02 
-1.2921884485e-03 -5.7281411082e-03 2.0108336892e-02 
-5.8819150869e-03 -5.9291237285e-03 2.0762132738e-02 
-2.2471969181e-03 -5.7976806705e-03 2.0299540756e-02 
-1.7482398696e-03 -5.8305837998e-03 2.0229772164e-02 
-1.2043583321e-03 1.0967982283e-03 1.0566398415e-02 
-1.3029373892e-03 1.0894487702e-03 1.0639439890e-02 
3.6756537771e-04 1.1737414408e-03 1.1423266594e-02 
-8.3585934765e-04 4.5373803085e-04 1.3313710449e-02 
-1.3972038287e-03 -6.0984588413e-04 1.3439308468e-02 
-6.7851436683e-03 -1.2990205735e-03 1.7472643464e-02 
-1.2931773573e-03 -1.1105099985e-03 1.3377017528e-02 
-4.5150313738e-03 -2.5025375109e-03 2.0987588175e-02 
8.0155213445e-04 -2.1269257968e-03 1.2819084388e-02 
1.0808836470e-03 -2.1433534973e-03 1.2769142089e-02 
1.2532457169e-03 -2.1479583969e-03 1.2732628670e-02 
5.5875160884e-04 -2.3435326820e-03 1.2890216138e-02 
-3.3318239896e-04 -2.4997923295e-03 1.3101284355e-02 
7.3130672225e-04 -2.4312721995e-03 1.2842298360e-02 
2.9474379137e-04 -2.4943858946e-03 1.2928882025e-02 
-7.5088677580e-03 -4.2974615716e-03 2.0830700408e-02 
-5.5745463595e-03 -4.2240681918e-03 2.0433343791e-02 
-3.0750804927e-03 -4.4051771659e-03 2.0247061673e-02 
-4.6311637685e-03 -4.5002129173e-03 2.0513028130e-02 
-1.7136603481e-03 -4.4036263020e-03 1.9923652384e-02 
-1.8112927819e-03 -4.8935475000e-03 2.0294161026e-02 
-1.5841696386e-03 -5.2196452242e-03 2.0188855616e-02 
-1.7183516028e-03 -5.2748639311e-03 2.0215516992e-02 
-1.7873274377e-03 -5.2962103851e-03 2.0237761270e-02 
-1.5273588328e-03 -5.3912454808e-03 2.0241383632e-02 
-5.4232973194e-03 -6.0472545067e-03 2.0640066599e-02 
-5.5385067314e-03 -6.0893705679e-03 2.0695187826e-02 
-1.7111959884e-03 -5.9227943729e-03 2.0250714236e-02 
-5.6169652933e-03 -6.1695423803e-03 2.0708870923e-02 
-5.4225249221e-03 -6.1912690330e-03 2.0687060472e-02 
-1.2078159078e-03 -5.9093321732e-03 2.0069789320e-02 
-5.5274778696e-03 -6.2159700087e-03 2.0741308315e-02 
-1.6352558905e-03 -5.9727013997e-03 2.0145832495e-02 
-3.1217583473e-03 -6.1472849588e-03 2.0472562417e-02 
-3.1912706374e-03 -6.1397005945e-03 2.0465898249e-02 
-1.3163147465e-03 -5.9925373724e-03 2.0049424762e-02 
-3.2944788712e-03 -6.2281336831e-03 2.0480494050e-02 
-5.5103357538e-03 -6.3601399728e-03 2.0722779861e-02 
-3.4485204157e-03 -6.2456929675e-03 2.0481722268e-02 
7.0795372249e-04 1.1020498632e-03 1.1910881655e-02 
-8.7393858633e-04 1.1095736113e-03 1.2677382028e-02 
-1.3277442418e-03 1.0210996003e-03 1.3464530769e-02 
-3.3845115143e-03 5.9639911397e-04 1.5119180732e-02 
5.0686903947e-04 4.8219127990e-04 1.3059569504e-02 
-1.2940515315e-03 -1.0203294019e-04 1.3414990169e-02 
-1.3196372091e-03 -8.6211087530e-04 1.3425801229e-02 
-5.8425410427e-03 -2.2637314559e-03 1.9999991412e-02 
-5.1159056356e-03 -2.7381689647e-03 2.0255418231e-02 
-6.1781850512e-03 -3.6841680502e-03 1.9978182178e-02 
-5.6500657499e-03 -3.8516228547e-03 2.0359564124e-02 
-4.2268440077e-03 -4.4607444028e-03 2.0717194185e-02 
-3.1640326532e-03 -4.4101895513e-03 2.0283089606e-02 
-5.7816518884e-03 -5.0635873662e-03 2.0673963723e-02 
-5.4715332732e-03 -5.2056006034e-03 2.0643229596e-02 
-5.4633124891e-03 -5.4382198201e-03 2.0632623565e-02 
-5.5360740128e-03 -5.4741048297e-03 2.0661845995e-02 
-5.8463822682e-03 -5.5306707911e-03 2.0799322227e-02 
-3.2599363278e-03 -5.5441583740e-03 2.0530538894e-02 
-5.5286779761e-03 -5.5730132581e-03 2.0642418995e-02 
-5.6213850137e-03 -5.8425618138e-03 2.0722478348e-02 
-3.6239903269e-03 1.0891912796e-03 1.2632609789e-02 
-4.8905164371e-03 9.1652349597e-04 1.2648614018e-02 
-2.8452629909e-03 1.1873935723e-03 1.2862183440e-02 
-8.8269391192e-04 1.1842183754e-03 1.2444586854e-02 
-1.2180721789e-03 1.1540019009e-03 1.2683237742e-02 
-1.2221922770e-03 1.1363105683e-03 1.4216581743e-02 
-3.7901392687e-03 5.3443950607e-04 1.4182587866e-02 
-2.8042884133e-03 4.9781784875e-04 1.5367045372e-02 
-2.3496522653e-03 5.0651734957e-04 1.5388857885e-02 
-1.8979044353e-03 4.9565549284e-04 1.5334206879e-02 
-9.3885805229e-05 5.4382566113e-04 1.3156444527e-02 
-4.5308260807e-04 5.1355474986e-04 1.3255198618e-02 
-7.2732165326e-04 4.6089380932e-04 1.3293501786e-02 
-3.9883348660e-04 4.6011100970e-04 1.3229347672e-02 
-4.5845061280e-04 4.5244754293e-04 1.3237935461e-02 
-1.9573003944e-03 2.4442741614e-04 1.6239642733e-02 
-5.3021375531e-04 -1.0791703314e-03 1.3168080694e-02 
-4.9385151963e-04 -1.3836773419e-03 1.3148681755e-02 
-7.3942326545e-03 -4.3241145776e-03 2.0733260750e-02 
-1.4077462094e-05 -2.3496076797e-03 1.2983243813e-02 
-4.6136702628e-03 -4.4078015426e-03 2.0539287276e-02 
-2.8078401780e-03 -4.3111219597e-03 1.9618554609e-02 
-2.5602649423e-03 -4.3823413210e-03 1.9953056070e-02 
-3.3740259662e-03 -4.4627123151e-03 2.0054286688e-02 
-9.9236151089e-04 -4.4063907978e-03 1.9989684137e-02 
-2.7874856256e-03 -4.6914810495e-03 2.0471366438e-02 
-8.4422445961e-04 -4.5817890817e-03 2.0055957177e-02 
-7.1267853533e-04 -4.6526702093e-03 2.0035771119e-02 
-6.7495048996e-03 -5.5544589805e-03 2.1021650673e-02 
-6.8858749731e-04 -4.9809765201e-03 2.0001737487e-02 
-9.8103689187e-04 -5.0102769163e-03 2.0018084351e-02 
-1.1203561227e-03 -5.0377674039e-03 2.0013503242e-02 
-8.1139502822e-04 -5.0563781613e-03 1.9972807664e-02 
-5.4492658155e-03 -5.5847255037e-03 2.0660115618e-02 
-8.9323201470e-04 -5.1471506740e-03 1.9983505467e-02 
-1.2643253220e-03 -5.1962119273e-03 2.0095655877e-02 
-3.1996007937e-03 -5.4651674244e-03 2.0509892469e-02 
-4.3550267183e-03 -5.6047010067e-03 2.0693936969e-02 
-9.7419997612e-04 -5.1987586279e-03 2.0014342184e-02 
-6.4242592871e-04 -5.8430958167e-03 1.9894562687e-02 
-5.4059016093e-03 -6.4943663632e-03 2.0706763647e-02 
-1.2180946085e-03 1.1391268003e-03 1.0579161734e-02 
-2.5967569493e-03 1.2753744387e-03 1.2457562960e-02 
-5.1551347661e-03 1.0438633228e-03 1.2389120120e-02 
-5.0432277405e-03 9.1390618983e-04 1.2649181448e-02 
3.8910061323e-04 -2.4913693194e-03 1.2927801704e-02 
-5.4904890360e-03 -4.2330088512e-03 2.0409553103e-02 
-1.7147422921e-03 -4.9422954463e-03 2.0187015659e-02 
-1.8144489098e-03 1.1511913911e-03 9.5720990812e-03 
-1.1416455304e-03 1.1073680754e-03 1.0595980027e-02 
-2.2619050850e-03 1.1246596228e-03 1.1202421876e-02 
-3.7861214890e-03 1.0755194745e-03 1.2677616212e-02 
-1.3079287806e-03 3.0817762240e-04 1.3445181069e-02 
8.1497445485e-04 -5.5985529210e-04 1.2896815951e-02 
-1.3597530724e-03 -1.2016777392e-03 1.3397522390e-02 
-5.2581895962e-03 -2.3603556455e-03 2.0212697541e-02 
-4.3894749555e-03 -4.4414098877e-03 2.0593495030e-02 
-4.8924724628e-03 -5.4849973209e-03 2.0916588925e-02 
-4.0293666182e-03 -5.6141136527e-03 2.0328880790e-02 
-2.9802959164e-03 -5.7510113892e-03 2.0471817265e-02 
-2.7911984077e-03 1.1896788696e-03 1.2033487454e-02 
-2.8621447878e-03 1.1399511720e-03 1.3013789981e-02 
-6.2662372536e-03 4.6128117440e-04 1.2595219972e-02 
-2.5508838995e-03 1.1036005013e-03 1.2754341056e-02 
-6.6378713838e-03 3.4715601191e-04 1.4976647452e-02 
-4.6894789473e-03 6.0862250431e-04 1.5458710101e-02 
-5.3163257790e-03 7.4772839523e-04 1.8065964662e-02 
-6.6447982557e-03 2.1360098313e-04 1.4964966378e-02 
-7.0157880768e-03 1.4675866073e-04 1.4842956005e-02 
-6.6938136772e-03 1.6197465191e-04 1.4929497745e-02 
-6.6400885143e-03 1.5280280383e-04 1.4943785696e-02 
-6.8897267750e-03 9.5359543104e-05 1.4861788714e-02 
-3.9029672394e-03 4.8960350751e-04 1.4143709077e-02 
-4.0010104289e-03 4.5869945819e-04 1.4755816311e-02 
-3.3652643057e-03 5.7355725495e-04 1.4983196403e-02 
-6.7015808616e-03 2.4836504663e-05 1.4902067077e-02 
-6.6641441643e-03 -3.8580095438e-05 1.4867886292e-02 
-3.9345649773e-03 3.8084285960e-04 1.4733112774e-02 
-6.6458209096e-03 -7.9629892852e-05 1.4915393573e-02 
-6.6703721793e-03 -1.3896686687e-04 1.4886317181e-02 
-6.9719921446e-03 -2.9571040809e-04 1.4818153221e-02 
-6.9111073510e-03 -3.1114659979e-04 1.4869792095e-02 
-2.0133076026e-03 3.8724408420e-04 1.5697784519e-02 
-1.9493317663e-03 3.4176776636e-04 1.5831998066e-02 
-7.1166241456e-03 -5.0945461000e-04 1.4733091998e-02 
-1.2444836104e-03 2.4889381599e-04 1.3325915989e-02 
-4.5092212690e-03 -2.8303748121e-04 1.8010890604e-02 
-3.6080130304e-03 -2.9913507270e-04 1.5826818892e-02 
-3.5328825623e-03 -4.4049661296e-04 1.6249541210e-02 
-1.5123414401e-03 -2.2786730731e-04 1.7962239729e-02 
-7.1172265582e-03 -1.0799116916e-03 1.4779941153e-02 
-1.3689593666e-03 -1.1190769851e-03 1.3372231940e-02 
-2.8815579258e-03 -2.2971309837e-03 1.6222348999e-02 
-6.9670261983e-04 -2.5434689739e-03 1.9502690401e-02 
-1.8832674110e-03 -2.6874609183e-03 1.9556630794e-02 
-7.0913005603e-04 -2.6413448552e-03 1.9493419002e-02 
-3.0825264844e-04 -3.0793265420e-03 1.9109399380e-02 
-6.6268522185e-03 -4.0011322133e-03 1.9253099005e-02 
-4.9206751773e-04 -3.3443162412e-03 1.9297845761e-02 
-4.7756083554e-04 -3.4237072441e-03 1.9286627778e-02 
-2.1245945025e-04 -3.4216858983e-03 1.8999994518e-02 
-4.6917090355e-03 -4.6357652376e-03 2.0600421576e-02 
-4.3403999233e-03 -4.6534659465e-03 2.0570794305e-02 
-4.5774036348e-03 -4.7432713103e-03 2.0587165642e-02 
-2.6656407382e-03 -4.4420074818e-03 2.0004247098e-02 
-5.4812453345e-03 -4.9315257810e-03 2.0674736763e-02 
-5.7212824525e-03 -4.9560305731e-03 2.0731211333e-02 
-4.5528409519e-03 -4.8445385322e-03 2.0711856586e-02 
-3.2323113693e-03 -4.6188987312e-03 2.0192306066e-02 
-2.1135251409e-03 -4.5551394775e-03 2.0273221383e-02 
-2.6473364385e-03 -4.6285737139e-03 2.0308577303e-02 
-3.4942713890e-03 -4.8072985464e-03 2.0600807465e-02 
-2.8173716848e-03 -4.7883936308e-03 2.0427684733e-02 
-9.2717170026e-04 -4.6048673115e-03 2.0073090971e-02 
-6.7616131937e-03 -5.7305573256e-03 2.1094869303e-02 
-6.8525229105e-03 -5.8882459073e-03 2.1096192686e-02 
-1.0793799822e-04 -4.9317002239e-03 1.9825900046e-02 
-6.9153663208e-03 -6.0349250246e-03 2.1163478967e-02 
-1.9909760967e-04 -5.0561386663e-03 1.9877114675e-02 
-3.0288780660e-03 -5.6876007254e-03 2.0599825745e-02 
-7.1533313951e-03 -6.2582784083e-03 2.1224613153e-02 
-2.9777265461e-04 -5.2386710117e-03 1.9868072672e-02 
-1.6796467033e-04 -5.2283206415e-03 1.9823076926e-02 
-5.4284983494e-05 -5.3193401702e-03 1.9799608010e-02 
