Structure parameters:
-8.3024608679e-05 -3.4283894937e-03 1.8945320217e-02 
5.6200814766e-04 -3.3960758373e-03 1.9023691688e-02 
2.8584541983e-04 -3.5223519931e-03 1.8860996462e-02 
-2.0469575664e-03 -4.3713654919e-03 1.9804533450e-02 
-3.3353646239e-03 -4.7213001966e-03 2.0245053839e-02 
-2.9629648846e-03 -4.7886461618e-03 2.0402002754e-02 
-6.5166548641e-03 -5.3932267105e-03 2.1019797829e-02 
-6.4001557690e-03 -5.5024305072e-03 2.0953590096e-02 
-6.3878476570e-03 -5.6009319253e-03 2.0939508726e-02 
-9.1307672652e-04 -5.0534497792e-03 2.0002934098e-02 
-7.0241132334e-03 -6.0185253562e-03 2.1349019373e-02 
-4.9416372211e-03 1.0186464814e-03 1.2200455700e-02 
-7.1739391713e-03 -5.1112770567e-04 1.4717512387e-02 
-7.0483243501e-03 -5.9231064048e-04 1.4790004500e-02 
-7.1804289434e-03 -6.1517788815e-04 1.4742277630e-02 
-7.0442322723e-03 -7.3711890213e-04 1.4773221297e-02 
-7.1524654119e-03 -8.2024145528e-04 1.4759309081e-02 
-7.0326479128e-03 -8.8004768286e-04 1.4792527274e-02 
-6.9985267545e-03 -1.1322564035e-03 1.4781620821e-02 
-7.1659312396e-03 -1.1690672985e-03 1.4727923331e-02 
-6.9583202493e-03 -1.1826555032e-03 1.4743810260e-02 
-7.1873789848e-03 -1.2728758336e-03 1.4705910730e-02 
-6.9408461467e-03 -1.2610424601e-03 1.4770043641e-02 
-6.8948833730e-03 -1.2884097427e-03 1.4790944720e-02 
-7.1535570001e-03 -1.3055666711e-03 1.4696318102e-02 
-6.9527643454e-03 -1.3262373564e-03 1.4793339969e-02 
-7.1277102495e-03 -1.3793808643e-03 1.4724484949e-02 
-6.9568011273e-03 -1.3902448707e-03 1.4750783527e-02 
-6.8114463085e-03 -1.4191383841e-03 1.4800674246e-02 
-7.0331750159e-03 -1.5023984742e-03 1.4718299636e-02 
-6.9178532140e-03 -1.5547049087e-03 1.4722297057e-02 
-7.1479910688e-03 -1.6187109933e-03 1.4688340039e-02 
-7.0470077150e-03 -1.6342760816e-03 1.4788986415e-02 
-5.2266048447e-03 1.0184121074e-03 1.2311780138e-02 
-5.2511567411e-03 9.1994778358e-04 1.2288137285e-02 
